date yyyy-mm-dd,numdate,measles
1903-8-1,1903.5836,239
1903-8-8,1903.6027,184
1903-8-15,1903.6219,125
1903-8-22,1903.6411,117
1903-8-29,1903.6603,105
1903-9-5,1903.6795,78
1903-9-12,1903.6986,94
1903-9-19,1903.7178,62
1903-9-26,1903.737,69
1903-10-3,1903.7562,69
1903-10-10,1903.7753,71
1903-10-17,1903.7945,89
1903-10-24,1903.8137,108
1903-10-31,1903.8329,193
1903-11-7,1903.8521,155
1903-11-14,1903.8712,246
1903-11-21,1903.8904,307
1903-11-28,1903.9096,267
1903-12-5,1903.9288,326
1903-12-12,1903.9479,505
1903-12-19,1903.9671,566
1903-12-26,1903.9863,438
1904-1-2,1904.0055,584
1904-1-9,1904.0246,789
1904-1-16,1904.0437,878
1904-1-23,1904.0628,741
1904-1-30,1904.082,814
1904-2-6,1904.1011,852
1904-2-13,1904.1202,721
1904-2-20,1904.1393,975
1904-2-27,1904.1585,1239
1904-3-5,1904.1776,1435
1904-3-12,1904.1967,1579
1904-3-19,1904.2158,1454
1904-3-26,1904.235,1554
1904-4-2,1904.2541,1265
1904-4-9,1904.2732,1706
1904-4-16,1904.2923,1416
1904-4-23,1904.3115,1630
1904-4-30,1904.3306,1398
1904-5-7,1904.3497,1836
1904-5-14,1904.3689,1516
1904-5-21,1904.388,1482
1904-5-28,1904.4071,1107
1904-6-4,1904.4262,1042
1904-6-11,1904.4454,814
1904-6-18,1904.4645,652
1904-6-25,1904.4836,464
1904-7-2,1904.5027,369
1904-7-9,1904.5219,261
1904-7-16,1904.541,269
1904-7-23,1904.5601,201
1904-7-30,1904.5792,183
1904-8-6,1904.5984,133
1904-8-13,1904.6175,95
1904-8-20,1904.6366,73
1904-8-27,1904.6557,70
1904-9-3,1904.6749,57
1904-9-10,1904.694,49
1904-9-17,1904.7131,43
1904-9-24,1904.7322,42
1904-10-1,1904.7514,51
1904-10-8,1904.7705,44
1904-10-15,1904.7896,52
1904-10-22,1904.8087,57
1904-10-29,1904.8279,55
1904-11-5,1904.847,70
1904-11-12,1904.8661,59
1904-11-19,1904.8852,83
1904-11-26,1904.9044,98
1904-12-3,1904.9235,83
1904-12-10,1904.9426,138
1904-12-17,1904.9617,103
1904-12-24,1904.9809,163
1904-12-31,1905,126
1905-1-7,1905.0192,122
1905-1-14,1905.0384,189
1905-1-21,1905.0575,194
1905-1-28,1905.0767,174
1905-2-4,1905.0959,185
1905-2-11,1905.1151,201
1905-2-18,1905.1342,209
1905-2-25,1905.1534,292
1905-3-4,1905.1726,252
1905-3-11,1905.1918,349
1905-3-18,1905.211,383
1905-3-25,1905.2301,379
1905-4-1,1905.2493,470
1905-4-8,1905.2685,422
1905-4-15,1905.2877,473
1905-4-22,1905.3068,356
1905-4-29,1905.326,601
1905-5-6,1905.3452,621
1905-5-13,1905.3644,742
1905-5-20,1905.3836,769
1905-5-27,1905.4027,888
1905-6-3,1905.4219,727
1905-6-10,1905.4411,770
1905-6-17,1905.4603,746
1905-6-24,1905.4795,769
1905-7-1,1905.4986,632
1905-7-8,1905.5178,447
1905-7-15,1905.537,458
1905-7-22,1905.5562,347
1905-7-29,1905.5753,274
1905-8-5,1905.5945,223
1905-8-12,1905.6137,178
1905-8-19,1905.6329,119
1905-8-26,1905.6521,115
1905-9-2,1905.6712,122
1905-9-9,1905.6904,95
1905-9-16,1905.7096,72
1905-9-23,1905.7288,69
1905-9-30,1905.7479,73
1905-10-7,1905.7671,52
1905-10-14,1905.7863,81
1905-10-21,1905.8055,113
1905-10-28,1905.8247,113
1905-11-4,1905.8438,169
1905-11-11,1905.863,155
1905-11-18,1905.8822,253
1905-11-25,1905.9014,326
1905-12-2,1905.9205,438
1905-12-9,1905.9397,572
1905-12-16,1905.9589,673
1905-12-23,1905.9781,764
1905-12-30,1905.9973,798
1906-1-6,1906.0164,1131
1906-1-13,1906.0356,1214
1906-1-20,1906.0548,1487
1906-1-27,1906.074,1468
1906-2-3,1906.0932,1489
1906-2-10,1906.1123,1390
1906-2-17,1906.1315,1674
1906-2-24,1906.1507,1636
1906-3-3,1906.1699,1903
1906-3-10,1906.189,2384
1906-3-17,1906.2082,2009
1906-3-24,1906.2274,1952
1906-3-31,1906.2466,1941
1906-4-7,1906.2658,1809
1906-4-14,1906.2849,1512
1906-4-21,1906.3041,1566
1906-4-28,1906.3233,1454
1906-5-5,1906.3425,1348
1906-5-12,1906.3616,1068
